Feature	N	Pearson_r	Pearson_p	Spearman_rho	Spearman_p
MFE Difference	14991	-0.07269804074294714	5.010438322415362e-19	-0.03972381842048688	1.1433583245981246e-06
5'SS Accessibility Diff	14991	0.19591555372849687	1.3522610079068039e-129	0.1867981220110476	8.727455529002168e-118
3'SS Accessibility Diff	14991	0.2244943994149201	1.4088984976692953e-170	0.13435561833541554	2.4734241009669882e-61
Intron1 Length	14991	0.05363733764163299	4.983860731547732e-11	0.14007069093469415	1.4879395499390378e-66
Intron2 Length	14991	-0.08495334519587512	2.0208137898654534e-25	-0.06582995401401931	7.137088137643401e-16
Intron1 GC Content	14991	-0.14551132673694953	9.855415852660102e-72	-0.1069634219028497	2.1316446718569606e-39
Intron2 GC Content	14991	-0.08477047687266079	2.5597559022858915e-25	-0.10472434363962542	7.907050399040026e-38
Intron1 Pairing Fraction	14991	-0.1772346796416824	4.825397454676464e-106	-0.08862154413255753	1.582622100046127e-27
Intron2 Pairing Fraction	14991	0.013500189075432132	0.0983573008178946	-0.02650679436945899	0.0011714923372413812
